[0]                            Vertices:   ID | Target Rank | Position  | Neighbor Edges
[0]                            ---------------------------------------------------------
[0]                                         0 |           0 | [0, 0, 0] | 51 52
[0]                                         1 |           0 | [1, 0, 0] | 53 54 55 56
[0]                                         2 |           0 | [0, 1, 0] | 57 58 59 60
[0]                                         3 |           0 | [1, 1, 0] | 61 62
[0]                                         4 |           0 | [0, 0.5, 0] | 63 64 65 66 67 68
[0]                                         5 |           0 | [0.5, 0, 0] | 69 70 71 72 73
[0]                                         6 |           0 | [0.5, 0.5, 0] | 74 75 76 77 78 79 80 81 82 83
[0]                                         7 |           0 | [1, 0.5, 0] | 84 85 86 87 88 89
[0]                                         8 |           0 | [0.5, 1, 0] | 90 91 92 93 94
[0]                                         9 |           0 | [0.75, 0.25, 0] | 53 95 96 97 98
[0]                                        10 |           0 | [0.75, 0, 0] | 54 95 99 100 101
[0]                                        11 |           0 | [0.5, 0.25, 0] | 96 99 102 103 104 105 106 107 108 109
[0]                                        12 |           0 | [0.5, 0.75, 0] | 110 111 112 113 114 115 116 117 118 119
[0]                                        13 |           0 | [0.25, 1, 0] | 57 110 120 121 122
[0]                                        14 |           0 | [0.25, 0.75, 0] | 58 111 120 123 124
[0]                                        15 |           0 | [0.25, 0.5, 0] | 63 102 125 126 127
[0]                                        16 |           0 | [0.25, 0.25, 0] | 64 103 125 128 129
[0]                                        17 |           0 | [0.75, 0.75, 0] | 84 112 130 131 132
[0]                                        18 |           0 | [0.75, 0.5, 0] | 85 113 130 133 134
[0]                                        19 |           0 | [0.25, 0, 0] | 51 69 135 136
[0]                                        20 |           0 | [0, 0.25, 0] | 52 65 135 137
[0]                                        21 |           0 | [0.25, 0.25, 0] | 66 70 136 137
[0]                                        22 |           0 | [1, 0.25, 0] | 55 86 138 139
[0]                                        23 |           0 | [0.75, 0.25, 0] | 56 74 138 140
[0]                                        24 |           0 | [0.75, 0.5, 0] | 75 87 139 140
[0]                                        25 |           0 | [0.25, 0.75, 0] | 59 76 141 142
[0]                                        26 |           0 | [0, 0.75, 0] | 60 67 141 143
[0]                                        27 |           0 | [0.25, 0.5, 0] | 68 77 142 143
[0]                                        28 |           0 | [0.75, 0.75, 0] | 88 90 144 145
[0]                                        29 |           0 | [0.75, 1, 0] | 61 91 144 146
[0]                                        30 |           0 | [1, 0.75, 0] | 62 89 145 146
[0]                                        31 |           0 | [0.625, 0, 0] | 71 100 147 148
[0]                                        32 |           0 | [0.625, 0.125, 0] | 101 104 147 149
[0]                                        33 |           0 | [0.5, 0.125, 0] | 72 105 148 149 150 151
[0]                                        34 |           0 | [0.375, 0.125, 0] | 73 128 150 152
[0]                                        35 |           0 | [0.375, 0.25, 0] | 106 129 151 152
[0]                                        36 |           0 | [0.625, 0.375, 0] | 78 97 153 154
[0]                                        37 |           0 | [0.625, 0.25, 0] | 98 107 153 155
[0]                                        38 |           0 | [0.5, 0.375, 0] | 79 108 154 155 156 157
[0]                                        39 |           0 | [0.375, 0.375, 0] | 109 126 156 158
[0]                                        40 |           0 | [0.375, 0.5, 0] | 80 127 157 158
[0]                                        41 |           0 | [0.375, 0.75, 0] | 114 123 159 160
[0]                                        42 |           0 | [0.5, 0.625, 0] | 81 115 159 161 162 163
[0]                                        43 |           0 | [0.375, 0.625, 0] | 82 124 160 161
[0]                                        44 |           0 | [0.625, 0.5, 0] | 83 133 162 164
[0]                                        45 |           0 | [0.625, 0.625, 0] | 116 134 163 164
[0]                                        46 |           0 | [0.375, 1, 0] | 92 121 165 166
[0]                                        47 |           0 | [0.5, 0.875, 0] | 93 117 165 167 168 169
[0]                                        48 |           0 | [0.375, 0.875, 0] | 118 122 166 167
[0]                                        49 |           0 | [0.625, 0.875, 0] | 94 131 168 170
[0]                                        50 |           0 | [0.625, 0.75, 0] | 119 132 169 170
[0]
[0]                            Edges:      ID | Target Rank | VertexID_0 | VertexID_1 | mesh boundary flag   | Neighbor Faces
[0]                            ----------------------------------------------------------------------------------------------
[0]                                        51 |           0 |          0 |         19 |                    1 | 171
[0]                                        52 |           0 |          0 |         20 |                    1 | 171
[0]                                        53 |           0 |          1 |          9 |                    1 | 172
[0]                                        54 |           0 |          1 |         10 |                    1 | 172
[0]                                        55 |           0 |          1 |         22 |                    1 | 173
[0]                                        56 |           0 |          1 |         23 |                    1 | 173
[0]                                        57 |           0 |          2 |         13 |                    1 | 174
[0]                                        58 |           0 |          2 |         14 |                    1 | 174
[0]                                        59 |           0 |          2 |         25 |                    1 | 175
[0]                                        60 |           0 |          2 |         26 |                    1 | 175
[0]                                        61 |           0 |          3 |         29 |                    1 | 176
[0]                                        62 |           0 |          3 |         30 |                    1 | 176
[0]                                        63 |           0 |          4 |         15 |                    1 | 177
[0]                                        64 |           0 |          4 |         16 |                    1 | 177
[0]                                        65 |           0 |          4 |         20 |                    1 | 178
[0]                                        66 |           0 |          4 |         21 |                    1 | 178
[0]                                        67 |           0 |          4 |         26 |                    1 | 179
[0]                                        68 |           0 |          4 |         27 |                    1 | 179
[0]                                        69 |           0 |          5 |         19 |                    1 | 180
[0]                                        70 |           0 |          5 |         21 |                    1 | 180
[0]                                        71 |           0 |          5 |         31 |                    1 | 181
[0]                                        72 |           0 |          5 |         33 |                    0 | 181 182
[0]                                        73 |           0 |          5 |         34 |                    1 | 182
[0]                                        74 |           0 |          6 |         23 |                    1 | 183
[0]                                        75 |           0 |          6 |         24 |                    1 | 183
[0]                                        76 |           0 |          6 |         25 |                    1 | 184
[0]                                        77 |           0 |          6 |         27 |                    1 | 184
[0]                                        78 |           0 |          6 |         36 |                    1 | 185
[0]                                        79 |           0 |          6 |         38 |                    0 | 185 186
[0]                                        80 |           0 |          6 |         40 |                    1 | 186
[0]                                        81 |           0 |          6 |         42 |                    0 | 187 188
[0]                                        82 |           0 |          6 |         43 |                    1 | 187
[0]                                        83 |           0 |          6 |         44 |                    1 | 188
[0]                                        84 |           0 |          7 |         17 |                    1 | 189
[0]                                        85 |           0 |          7 |         18 |                    1 | 189
[0]                                        86 |           0 |          7 |         22 |                    1 | 190
[0]                                        87 |           0 |          7 |         24 |                    1 | 190
[0]                                        88 |           0 |          7 |         28 |                    1 | 191
[0]                                        89 |           0 |          7 |         30 |                    1 | 191
[0]                                        90 |           0 |          8 |         28 |                    1 | 192
[0]                                        91 |           0 |          8 |         29 |                    1 | 192
[0]                                        92 |           0 |          8 |         46 |                    1 | 193
[0]                                        93 |           0 |          8 |         47 |                    0 | 193 194
[0]                                        94 |           0 |          8 |         49 |                    1 | 194
[0]                                        95 |           0 |          9 |         10 |                    0 | 172 195
[0]                                        96 |           0 |          9 |         11 |                    1 | 195
[0]                                        97 |           0 |          9 |         36 |                    1 | 196
[0]                                        98 |           0 |          9 |         37 |                    1 | 196
[0]                                        99 |           0 |         10 |         11 |                    1 | 195
[0]                                       100 |           0 |         10 |         31 |                    1 | 197
[0]                                       101 |           0 |         10 |         32 |                    1 | 197
[0]                                       102 |           0 |         11 |         15 |                    1 | 198
[0]                                       103 |           0 |         11 |         16 |                    1 | 198
[0]                                       104 |           0 |         11 |         32 |                    1 | 199
[0]                                       105 |           0 |         11 |         33 |                    0 | 199 200
[0]                                       106 |           0 |         11 |         35 |                    1 | 200
[0]                                       107 |           0 |         11 |         37 |                    1 | 201
[0]                                       108 |           0 |         11 |         38 |                    0 | 201 202
[0]                                       109 |           0 |         11 |         39 |                    1 | 202
[0]                                       110 |           0 |         12 |         13 |                    1 | 203
[0]                                       111 |           0 |         12 |         14 |                    1 | 203
[0]                                       112 |           0 |         12 |         17 |                    1 | 204
[0]                                       113 |           0 |         12 |         18 |                    1 | 204
[0]                                       114 |           0 |         12 |         41 |                    1 | 205
[0]                                       115 |           0 |         12 |         42 |                    0 | 205 206
[0]                                       116 |           0 |         12 |         45 |                    1 | 206
